Species,Gene_Function,Count
香蕉 (Musa acuminata - 三倍体),Repressor of RNA polymerase III transcription MAF1,6
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 3 subunit H,6
香蕉 (Musa acuminata - 三倍体),Golgi to ER traffic protein 4,6
香蕉 (Musa acuminata - 三倍体),MEMO1 family,6
香蕉 (Musa acuminata - 三倍体),CTLH,6
香蕉 (Musa acuminata - 三倍体),ESCRT-II complex,6
香蕉 (Musa acuminata - 三倍体),Nuclear pore localisation protein NPL4,6
香蕉 (Musa acuminata - 三倍体),Ferrodoxin-fold anticodon-binding domain,6
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 6,6
香蕉 (Musa acuminata - 三倍体),Vacuolar protein sorting-associated protein 29,6
香蕉 (Musa acuminata - 三倍体),26S Proteasome non-ATPase regulatory subunit 7/8,6
香蕉 (Musa acuminata - 三倍体),Endonuclease III homolog,6
香蕉 (Musa acuminata - 三倍体),U3 small nucleolar RNA-associated protein 11,6
香蕉 (Musa acuminata - 三倍体),Zinc finger,6
香蕉 (Musa acuminata - 三倍体),Vps53-like,6
香蕉 (Musa acuminata - 三倍体),Signal peptidase complex subunit 2,6
香蕉 (Musa acuminata - 三倍体),Nuclear cap-binding protein subunit 2,6
香蕉 (Musa acuminata - 三倍体),Autophagy-related protein 3,6
香蕉 (Musa acuminata - 三倍体),Glycosyltransferase 2-like,6
香蕉 (Musa acuminata - 三倍体),NADH dehydrogenase,6
香蕉 (Musa acuminata - 三倍体),Signal recognition particle,6
香蕉 (Musa acuminata - 三倍体),Ribosomal protein/NADH dehydrogenase domain,6
香蕉 (Musa acuminata - 三倍体),TMEM85/ER membrane protein complex subunit 4,6
香蕉 (Musa acuminata - 三倍体),WD40/YVTN repeat-like-containing domain superfamily,5
香蕉 (Musa acuminata - 三倍体),Pre-mRNA-processing-splicing factor 8,5
香蕉 (Musa acuminata - 三倍体),Vacuole morphology and inheritance protein 14,5
香蕉 (Musa acuminata - 三倍体),CCAAT-binding factor,5
香蕉 (Musa acuminata - 三倍体),AP-3 complex subunit delta,5
香蕉 (Musa acuminata - 三倍体),Aminoacyl-tRNA synthetase,5
香蕉 (Musa acuminata - 三倍体),RNA polymerase I specific transcription initiation factor RRN3,5
香蕉 (Musa acuminata - 三倍体),26S Proteasome non-ATPase regulatory subunit 13,5
香蕉 (Musa acuminata - 三倍体),Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit,5
香蕉 (Musa acuminata - 三倍体),Exoribonuclease,5
香蕉 (Musa acuminata - 三倍体),Atg6/Beclin,5
香蕉 (Musa acuminata - 三倍体),GPN-loop GTPase,5
香蕉 (Musa acuminata - 三倍体),GINS complex,5
香蕉 (Musa acuminata - 三倍体),Ubiquinone biosynthesis protein Coq4,5
香蕉 (Musa acuminata - 三倍体),RNA polymerase II subunit A,5
香蕉 (Musa acuminata - 三倍体),SUI1 domain,5
香蕉 (Musa acuminata - 三倍体),Sda1,4
香蕉 (Musa acuminata - 三倍体),Brix domain,4
